# 2023-03-30, 15:39:20.433267
# fs = 20 Hz, N = 100
# NI 9211, 23.0.0
t,ai0
0.000000000,-0.008346673
0.050000000,-0.008346673
0.100000000,-0.008349629
0.150000000,-0.008349629
0.200000000,-0.008350201
0.250000000,-0.008350201
0.300000000,-0.008350316
0.350000000,-0.008350316
0.400000000,-0.008347722
0.450000000,-0.008347722
0.500000000,-0.008344727
0.550000000,-0.008344727
0.600000000,-0.008342839
0.650000000,-0.008342839
0.700000000,-0.008342724
0.750000000,-0.008342724
0.800000000,-0.008346730
0.850000000,-0.008346730
0.900000000,-0.008349324
0.950000000,-0.008349324
1.000000000,-0.008350716
1.050000000,-0.008350716
1.100000000,-0.008350468
1.150000000,-0.008350468
1.200000000,-0.008348656
1.250000000,-0.008348656
1.300000000,-0.008347226
1.350000000,-0.008347226
1.400000000,-0.008344746
1.450000000,-0.008344746
1.500000000,-0.008346730
1.550000000,-0.008346730
1.600000000,-0.008348084
1.650000000,-0.008348084
1.700000000,-0.008348389
1.750000000,-0.008348389
1.800000000,-0.008348294
1.850000000,-0.008348294
1.900000000,-0.008348008
1.950000000,-0.008348008
2.000000000,-0.008347073
2.050000000,-0.008347073
2.100000000,-0.008346024
2.150000000,-0.008346024
2.200000000,-0.008345891
2.250000000,-0.008345891
2.300000000,-0.008348218
2.350000000,-0.008348218
2.400000000,-0.008349782
2.450000000,-0.008349782
2.500000000,-0.008350277
2.550000000,-0.008350277
2.600000000,-0.008349991
2.650000000,-0.008349991
2.700000000,-0.008346901
2.750000000,-0.008346901
2.800000000,-0.008344384
2.850000000,-0.008344384
2.900000000,-0.008343945
2.950000000,-0.008343945
3.000000000,-0.008347760
3.050000000,-0.008347760
3.100000000,-0.008350335
3.150000000,-0.008350335
3.200000000,-0.008351136
3.250000000,-0.008351136
3.300000000,-0.008350926
3.350000000,-0.008350926
3.400000000,-0.008348866
3.450000000,-0.008348866
3.500000000,-0.008346863
3.550000000,-0.008346863
3.600000000,-0.008345643
3.650000000,-0.008345643
3.700000000,-0.008346138
3.750000000,-0.008346138
3.800000000,-0.008347016
3.850000000,-0.008347016
3.900000000,-0.008348084
3.950000000,-0.008348084
4.000000000,-0.008341160
4.050000000,-0.008341160
4.100000000,-0.008342743
4.150000000,-0.008342743
4.200000000,-0.008336945
4.250000000,-0.008336945
4.300000000,-0.008323308
4.350000000,-0.008323308
4.400000000,-0.008329697
4.450000000,-0.008329697
4.500000000,-0.008337327
4.550000000,-0.008337327
4.600000000,-0.008350029
4.650000000,-0.008350029
4.700000000,-0.008353119
4.750000000,-0.008353119
4.800000000,-0.008348580
4.850000000,-0.008348580
4.900000000,-0.008346768
4.950000000,-0.008346768
